"Company","Item","Calories","Total.Fat..g.","Saturated.Fat..g.","Carbs..g.","Fiber..g.","Sugars..g.","Protein..g.","Salt.g","Category"
"McDonald’s","Sprite® (Child)",110,0,0,28,0,28,0,0.075,"Sweet_Drinks"
"McDonald’s","Sprite® (Small)",150,0,0,39,0,39,0,0.1,"Sweet_Drinks"
"McDonald’s","Sprite® (Medium)",210,0,0,56,0,56,0,0.1375,"Sweet_Drinks"
"McDonald’s","Sprite® (Large)",310,0,0,83,0,83,0,0.2,"Sweet_Drinks"
"McDonald’s","Hi-C® Orange Lavaburst (Child)",120,0,0,32,0,32,0,0,"Juice"
"McDonald’s","Hi-C® Orange Lavaburst (Small)",160,0,0,44,0,44,0,0.0125,"Juice"
"McDonald’s","Hi-C® Orange Lavaburst (Medium)",240,0,0,64,0,64,0,0.025,"Juice"
"McDonald’s","Hi-C® Orange Lavaburst (Large)",350,0,0,94,0,94,0,0.025,"Juice"
"McDonald’s","POWERade® Mountain Blast (Child)",70,0,0,20,0,16,0,0.1625,"Sweet_Drinks"
"McDonald’s","POWERade® Mountain Blast (Small)",100,0,0,27,0,21,0,0.2125,"Sweet_Drinks"
"McDonald’s","POWERade® Mountain Blast (Medium)",150,0,0,39,0,31,0,0.325,"Sweet_Drinks"
"McDonald’s","POWERade® Mountain Blast (Large)",220,0,0,58,0,46,0,0.475,"Sweet_Drinks"
"McDonald’s","Iced Tea (Child)",0,0,0,0,0,0,0,0.0125,"Tea"
"McDonald’s","Iced Tea (Small)",0,0,0,0,0,0,0,0.025,"Tea"
"McDonald’s","Iced Tea (Medium)",0,0,0,0,0,0,0,0.0375,"Tea"
"McDonald’s","Iced Tea (Large)",0,0,0,1,0,0,0,0.05,"Tea"
"McDonald’s","Coffee (Small)",0,0,0,0,0,0,0,0,"Coffee_drinks"
"McDonald’s","Coffee (Large)",0,0,0,0,0,0,0,0,"Coffee_drinks"
"McDonald’s","Coffee Cream",20,2,1.5,0,0,0,0,0.0375,"Coffee_drinks"
"McDonald’s","Sugar Packet",15,0,0,4,0,4,0,0,"Condiments"
"McDonald’s","EQUAL® 0
Calorie Sweetener",0,0,0,1,0,1,0,0,"Condiments"
"McDonald’s","SPLENDA® No
Calorie Sweetener",0,0,0,1,0,1,0,0,"Condiments"
"McDonald’s","Iced Coffee– Caramel (Small)",130,5,3.5,21,0,20,1,0.2,"Coffee_drinks"
"McDonald’s","Iced Coffee– Caramel (Medium)",190,8,5,27,0,27,2,0.2875,"Coffee_drinks"
"McDonald’s","Iced Coffee– Caramel (Large)",270,11,7,41,0,41,2,0.4,"Coffee_drinks"
"McDonald’s","Iced Coffee– Hazelnut (Small)",130,5,3.5,21,0,21,1,0.1,"Coffee_drinks"
"McDonald’s","Iced Coffee– Hazelnut (Medium)",190,8,5,29,0,29,2,0.15,"Coffee_drinks"
"McDonald’s","Iced Coffee– Hazelnut (Large)",270,11,7,43,0,43,2,0.2125,"Coffee_drinks"
"McDonald’s","Iced Coffee– Regular (Small)",140,5,3.5,22,0,22,1,0.1,"Coffee_drinks"
"McDonald’s","Iced Coffee– Regular (Medium)",200,8,5,30,0,30,2,0.15,"Coffee_drinks"
"McDonald’s","Iced Coffee– Regular (Large)",280,11,7,45,0,45,2,0.2125,"Coffee_drinks"
"McDonald’s","Iced Coffee– Vanilla (Small)",130,5,3.5,21,0,21,1,0.1,"Coffee_drinks"
"McDonald’s","Iced Coffee– Vanilla (Medium)",190,8,5,29,0,28,2,0.15,"Coffee_drinks"
"McDonald’s","Iced Coffee– Vanilla (Large)",270,11,7,43,0,43,2,0.2,"Coffee_drinks"
"McDonald’s","Iced Coffee with Sugar Free Vanilla Syrup (Small)",60,5,3.5,8,0,1,1,0.175,"Coffee_drinks"
"McDonald’s","Iced Coffee with Sugar Free Vanilla Syrup (Medium)",90,8,5,11,0,2,2,0.25,"Coffee_drinks"
"McDonald’s","Iced Coffee with Sugar Free Vanilla Syrup (Large)",120,11,7,16,0,2,2,0.35,"Coffee_drinks"
"McDonald’s","Sweet Tea (Child)",110,0,0,27,0,27,0,0.0125,"Tea"
"McDonald’s","Sweet Tea (Large)",280,0,0,69,0,69,1,0.0375,"Tea"
"McDonald’s","Sweet Tea (Medium)",180,0,0,45,0,45,1,0.025,"Tea"
"McDonald’s","Sweet Tea (Small)",150,0,0,36,0,36,1,0.025,"Tea"
"McDonald’s","Nonfat Cappuccino (Small)",60,0,0,9,0,9,6,0.2125,"Coffee_drinks"
"McDonald’s","Nonfat Cappuccino (Medium)",80,0,0,12,0,12,8,0.275,"Coffee_drinks"
"McDonald’s","Nonfat Cappuccino (Large)",90,0,0,13,0,13,9,0.325,"Coffee_drinks"
"McDonald’s","Nonfat Latte (Small)",90,0,0,13,0,13,9,0.2875,"Coffee_drinks"
"McDonald’s","Nonfat Latte (Medium)",110,0,0,15,0,15,10,0.35,"Coffee_drinks"
"McDonald’s","Nonfat Latte (Large)",120,0,0,18,0,18,12,0.4,"Coffee_drinks"
"McDonald’s","Nonfat Caramel Cappuccino (Small)",150,0,0,33,0,32,5,0.3,"Coffee_drinks"
"McDonald’s","Nonfat Caramel Cappuccino (Medium)",190,0,0,41,0,41,6,0.375,"Coffee_drinks"
"McDonald’s","Nonfat Caramel Cappuccino (Large)",230,0,0,49,0,49,7,0.45,"Coffee_drinks"
"McDonald’s","Nonfat Caramel Latte (Small)",170,0,0,36,0,36,7,0.375,"Coffee_drinks"
"McDonald’s","Nonfat Caramel Latte (Medium)",220,0,0,45,0,45,9,0.45,"Coffee_drinks"
"McDonald’s","Nonfat Caramel Latte (Large)",260,0,0,53,0,53,10,0.55,"Coffee_drinks"
"McDonald’s","Nonfat Hazelnut Cappuccino (Small)",150,0,0,34,0,34,5,0.175,"Coffee_drinks"
"McDonald’s","Nonfat Hazelnut Cappuccino (Medium)",190,0,0,43,0,43,6,0.225,"Coffee_drinks"
"McDonald’s","Nonfat Hazelnut Cappuccino (Large)",230,0,0,51,0,51,7,0.25,"Coffee_drinks"
"McDonald’s","Nonfat Hazelnut Latte (Small)",180,0,0,37,0,37,7,0.2375,"Coffee_drinks"
"McDonald’s","Nonfat Hazelnut Latte (Medium)",220,0,0,46,0,46,9,0.2875,"Coffee_drinks"
"McDonald’s","Nonfat Hazelnut Latte (Large)",260,0,0,55,0,55,10,0.3375,"Coffee_drinks"
"McDonald’s","Nonfat Vanilla Cappuccino (Small)",150,0,0,34,0,34,5,0.175,"Coffee_drinks"
"McDonald’s","Nonfat Vanilla Cappuccino (Medium)",190,0,0,42,0,42,6,0.225,"Coffee_drinks"
"McDonald’s","Nonfat Vanilla Cappuccino (Large)",230,0,0,51,0,51,7,0.25,"Coffee_drinks"
"McDonald’s","Nonfat Vanilla Latte (Small)",180,0,0,37,0,37,7,0.2375,"Coffee_drinks"
"McDonald’s","Nonfat Vanilla Latte (Medium)",220,0,0,46,0,46,9,0.2875,"Coffee_drinks"
"McDonald’s","Nonfat Vanilla Latte (Large)",260,0,0,55,0,55,10,0.3375,"Coffee_drinks"
"McDonald’s","Nonfat Cappuccino with Sugar Free Vanilla Syrup (Small)",50,0,0,15,0,8,5,0.25,"Coffee_drinks"
"McDonald’s","Nonfat Cappuccino with Sugar Free Vanilla Syrup (Medium)",70,0,0,19,0,10,7,0.325,"Coffee_drinks"
"McDonald’s","Nonfat Cappuccino with Sugar Free Vanilla Syrup (Large)",80,0,0,22,0,11,8,0.375,"Coffee_drinks"
"McDonald’s","Nonfat Latte with Sugar Free Vanilla Syrup (Small)",80,0,0,18,0,11,7,0.325,"Coffee_drinks"
